"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"11:32:54.1271174 PM","Sample_B.exe","3940","CreateFile","C:\Windows\Fonts\simpbdo.ttf","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"11:32:54.1272364 PM","Sample_B.exe","3940","QueryBasicInformationFile","C:\Windows\Fonts\simpbdo.ttf","SUCCESS","CreationTime: 7/13/2009 6:04:21 PM, LastAccessTime: 7/13/2009 6:04:21 PM, LastWriteTime: 6/10/2009 1:25:45 PM, ChangeTime: 1/2/2018 5:18:01 PM, FileAttributes: A"
"11:32:54.1272436 PM","Sample_B.exe","3940","CloseFile","C:\Windows\Fonts\simpbdo.ttf","SUCCESS",""
"11:32:54.1273347 PM","Sample_B.exe","3940","CreateFile","C:\Windows\Fonts\simpbdo.ttf","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"11:32:54.1273504 PM","Sample_B.exe","3940","QueryStandardInformationFile","C:\Windows\Fonts\simpbdo.ttf","SUCCESS","AllocationSize: 118,784, EndOfFile: 116,376, NumberOfLinks: 1, DeletePending: False, Directory: False"
"11:32:54.1273576 PM","Sample_B.exe","3940","QueryBasicInformationFile","C:\Windows\Fonts\simpbdo.ttf","SUCCESS","CreationTime: 7/13/2009 6:04:21 PM, LastAccessTime: 7/13/2009 6:04:21 PM, LastWriteTime: 6/10/2009 1:25:45 PM, ChangeTime: 1/2/2018 5:18:01 PM, FileAttributes: A"
"11:32:54.1273646 PM","Sample_B.exe","3940","CloseFile","C:\Windows\Fonts\simpbdo.ttf","SUCCESS",""
"11:32:54.1274520 PM","Sample_B.exe","3940","CreateFile","C:\Windows\Fonts\simpbdo.ttf","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"11:32:54.1274671 PM","Sample_B.exe","3940","QueryBasicInformationFile","C:\Windows\Fonts\simpbdo.ttf","SUCCESS","CreationTime: 7/13/2009 6:04:21 PM, LastAccessTime: 7/13/2009 6:04:21 PM, LastWriteTime: 6/10/2009 1:25:45 PM, ChangeTime: 1/2/2018 5:18:01 PM, FileAttributes: A"
"11:32:54.1274741 PM","Sample_B.exe","3940","QueryStandardInformationFile","C:\Windows\Fonts\simpbdo.ttf","SUCCESS","AllocationSize: 118,784, EndOfFile: 116,376, NumberOfLinks: 1, DeletePending: False, Directory: False"
"11:32:54.1274817 PM","Sample_B.exe","3940","CreateFileMapping","C:\Windows\Fonts\simpbdo.ttf","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_READONLY"
"11:32:54.1274875 PM","Sample_B.exe","3940","QueryStandardInformationFile","C:\Windows\Fonts\simpbdo.ttf","SUCCESS","AllocationSize: 118,784, EndOfFile: 116,376, NumberOfLinks: 1, DeletePending: False, Directory: False"
"11:32:54.1275007 PM","Sample_B.exe","3940","CreateFileMapping","C:\Windows\Fonts\simpbdo.ttf","SUCCESS","SyncType: SyncTypeOther"
"11:32:54.1275210 PM","Sample_B.exe","3940","ReadFile","C:\Windows\Fonts\simpbdo.ttf","SUCCESS","Offset: 0, Length: 32,768, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"11:32:54.1276820 PM","Sample_B.exe","3940","ReadFile","C:\Windows\Fonts\simpbdo.ttf","SUCCESS","Offset: 86,016, Length: 30,360, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"11:32:54.1278591 PM","Sample_B.exe","3940","CloseFile","C:\Windows\Fonts\simpbdo.ttf","SUCCESS",""
"11:32:54.1279468 PM","Sample_B.exe","3940","CreateFile","C:\Windows\Fonts\simpbdo.ttf","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"11:32:54.1279627 PM","Sample_B.exe","3940","QueryBasicInformationFile","C:\Windows\Fonts\simpbdo.ttf","SUCCESS","CreationTime: 7/13/2009 6:04:21 PM, LastAccessTime: 7/13/2009 6:04:21 PM, LastWriteTime: 6/10/2009 1:25:45 PM, ChangeTime: 1/2/2018 5:18:01 PM, FileAttributes: A"
"11:32:54.1279700 PM","Sample_B.exe","3940","QueryStandardInformationFile","C:\Windows\Fonts\simpbdo.ttf","SUCCESS","AllocationSize: 118,784, EndOfFile: 116,376, NumberOfLinks: 1, DeletePending: False, Directory: False"
"11:32:54.1279772 PM","Sample_B.exe","3940","CreateFileMapping","C:\Windows\Fonts\simpbdo.ttf","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_READONLY"
"11:32:54.1279834 PM","Sample_B.exe","3940","QueryStandardInformationFile","C:\Windows\Fonts\simpbdo.ttf","SUCCESS","AllocationSize: 118,784, EndOfFile: 116,376, NumberOfLinks: 1, DeletePending: False, Directory: False"
"11:32:54.1279960 PM","Sample_B.exe","3940","CreateFileMapping","C:\Windows\Fonts\simpbdo.ttf","SUCCESS","SyncType: SyncTypeOther"
"11:32:54.1280471 PM","Sample_B.exe","3940","CloseFile","C:\Windows\Fonts\simpbdo.ttf","SUCCESS",""
"11:32:54.1280697 PM","Sample_B.exe","3940","RegEnumValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Fonts","SUCCESS","Index: 126, Name: Simplified Arabic Fixed (TrueType), Type: REG_SZ, Length: 24, Data: simpfxo.ttf"
"11:32:54.1282239 PM","Sample_B.exe","3940","CreateFile","C:\Windows\Fonts\simpfxo.ttf","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"11:32:54.1283399 PM","Sample_B.exe","3940","QueryBasicInformationFile","C:\Windows\Fonts\simpfxo.ttf","SUCCESS","CreationTime: 7/13/2009 6:04:21 PM, LastAccessTime: 7/13/2009 6:04:21 PM, LastWriteTime: 6/10/2009 1:25:45 PM, ChangeTime: 1/2/2018 5:18:01 PM, FileAttributes: A"
"11:32:54.1283474 PM","Sample_B.exe","3940","CloseFile","C:\Windows\Fonts\simpfxo.ttf","SUCCESS",""
"11:32:54.1284376 PM","Sample_B.exe","3940","CreateFile","C:\Windows\Fonts\simpfxo.ttf","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"11:32:54.1284533 PM","Sample_B.exe","3940","QueryStandardInformationFile","C:\Windows\Fonts\simpfxo.ttf","SUCCESS","AllocationSize: 106,496, EndOfFile: 104,884, NumberOfLinks: 1, DeletePending: False, Directory: False"
"11:32:54.1284606 PM","Sample_B.exe","3940","QueryBasicInformationFile","C:\Windows\Fonts\simpfxo.ttf","SUCCESS","CreationTime: 7/13/2009 6:04:21 PM, LastAccessTime: 7/13/2009 6:04:21 PM, LastWriteTime: 6/10/2009 1:25:45 PM, ChangeTime: 1/2/2018 5:18:01 PM, FileAttributes: A"
"11:32:54.1284675 PM","Sample_B.exe","3940","CloseFile","C:\Windows\Fonts\simpfxo.ttf","SUCCESS",""
"11:32:54.1285575 PM","Sample_B.exe","3940","CreateFile","C:\Windows\Fonts\simpfxo.ttf","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
